Title,Board
現在的助理費不夠法制化嗎？,hate_politics
1兆多國防預算跟財劃法就用公投吧,hate_politics
師傅是狗,hate_politics
假如大型連鎖超市跟小雜貨店都有食安問題,hate_politics
全部的人都在演啦，別被騙了,hate_politics
喊倒閣的是不是國中沒念過公民？,hate_politics
陳琬惠：我是宜蘭藍白合最大公約數,hate_politics
陳亭妃會勸林俊憲不要脫黨參選嗎?,hate_politics
"蔣經國為人正派,為什麼兒子都是廢柴?",hate_politics
藍白可以不要死要面子了嗎？,hate_politics
從放棄陸籍問題到共諜依親問題by王至劭,hate_politics
就地x法！,hate_politics
桃園某國中生課堂上抽電子煙　煙油驗出喪,hate_politics
吳子嘉：吳宗憲被請去小房間修理,hate_politics
助理費除罪化惹議　韓國瑜：修法不該侵害,hate_politics
濱崎步最終場[澳門場]確定取消,hate_politics
如果2028年還是賴連任總統該怎麼辦,hate_politics
所以大罷免不代表主流民意了？,hate_politics
應佳妤是正妹嗎？,hate_politics
以前海珊的部隊名字都好好聽,hate_politics
阿扁會出現在陳媽祖的宣傳車嗎?,hate_politics
叔叔賴清德徵召選基隆市長？童子瑋：靜待,hate_politics
黃國昌：幫民意代表除罪化是可恥的修法,hate_politics
國民黨有把人霸凌到離世的委員,hate_politics
台灣國國王現在是卓榮泰嗎?,hate_politics
歡迎韓國人來中國台灣開演場會 這樣可以?,hate_politics
其實台灣人才是慣老闆吧？,hate_politics
陳水扁開節目藍白根本在暗爽,hate_politics
蔣氏父子一直以來殺人都無罪啊,hate_politics
嘉義梅山鄉公所加碼普發！　鄉親排隊每人,hate_politics
柯文哲當初說要處理社子島問題,hate_politics
藍白愛支那，卻是台海優先的填線寶寶,hate_politics
謝典霖跟謝衣鳳哪個比較優秀？？,hate_politics
自然人憑證跟愛台灣的關聯是什麼？,hate_politics
賴是不是也心知不可能連任了？,hate_politics
doig 不是開示過了嗎 國民黨貪污正常,hate_politics
賴鐵頭要讓爛龜黨低能到什麼時候,hate_politics
阿扁以前是怎麼讓民進黨顯得不低能,hate_politics
中國人其實也不想打吧?,hate_politics
林俊憲的競選帆布要變成做功德了嗎?,hate_politics
撈7億應該比撈700元助理費一樣嚴重吧？,hate_politics
藍白：助理費進立委帳戶，監督更有力,hate_politics
嘴巴說不投降，但是身體後面投降怎辦？,hate_politics
苗博雅說出了真相！,hate_politics
台灣現在全民認真演習會狂掉票嗎,hate_politics
把國民黨推向深淵的人是馬囧還是李登輝?,hate_politics
不然民進黨自己提倒閣吧,hate_politics
立陶宛拒絕中國對台灣代表處的要求,hate_politics
其實賴清德總統可以做出想談判的樣子,hate_politics
中國推出的新國標電動車 太神了,hate_politics
牛煦庭是不是唬爛要搏版面？,hate_politics
黃國昌：助理費法制化堅持公款公用　沒,hate_politics
倒閣就沒用為什麼要討論倒閣,hate_politics
藍白要醞釀提倒閣案了吧,hate_politics
若開戰台灣減400萬人+割地賠款 接受嗎？,hate_politics
台派理想的中國犯台日程表,hate_politics
賴皮抱怨老柯都在裝死？,hate_politics
總統副總統選罷法要不要修1/2就可以罷免,hate_politics
吸小草票？應曉薇女兒突別「kp」徽章　吳,hate_politics
大學副教授指控論文抄襲大翻車 徐巧芯預,hate_politics
幕後》反助理費除罪化連署已200人 6立委,hate_politics
是不是有一半的中國人，被美國拖下水,hate_politics
我痛恨台北市的建築法規,hate_politics
肉呆的true飯沒人了？,hate_politics
遼寧號被指駛入美日訓練區 中方反問日機,hate_politics
綠營會什麼想淡化戰爭情況啊？,hate_politics
反共不反中，民進黨是哪一個字看不懂？,hate_politics
苗博雅退出競爭市長 青鳥有鬆一口氣嗎？,hate_politics
支那人抗日成功！,hate_politics
綠委：國民黨要自清鄭習會沒有交換條件,hate_politics
老柯真的完全消失了？,hate_politics
幹 我錯了puma老師是說90%人上戰場,hate_politics
民眾黨要求3月底以前完成2026整合,hate_politics
吳怡農如果參選市長,hate_politics
三權分立，立院可以提不信任案!,hate_politics
執政黨提案倒閣自己的行政院長,hate_politics
行政院不副署 沈柏洋:國會應該倒閣,hate_politics
子弟兵何元楷遭爆國小霸凌同學！　羅智強,hate_politics
王毅跟德國外長對談: 戰敗國應謹言慎行,hate_politics
把助理當乞丐的立委名單一覽,hate_politics
青鳥普信女為什麼特別多？,hate_politics
32:0 政黑綠促 瑟瑟發抖,hate_politics
沒錢當什麼助理？便當助理不用錢啊？,hate_politics
你去韓國玩 被迫加註中國台灣是啥感受?,hate_politics
台灣詐騙犯「遣送中國」！　873人全辦了,hate_politics
大公投大成功有幾成勝算？,hate_politics
桃園某國中課堂使用電子菸驗出喪屍煙彈,hate_politics
快訊/陳玉珍再度提案「微罪緩刑也可參選」,hate_politics
藍白修惡法 是行政院要擔慮的事嗎？,hate_politics
應佳妤：+<><深深地感受到來自民主的鐵拳,hate_politics
卓榮泰下台倒計時了？,hate_politics
涉貪455萬議員陳怡君哭認罪「我不是貪心,hate_politics
巧芯 準備開吉 會有政黑板友中槍嗎？,hate_politics
陳玉珍提微罪緩刑可參選 幫蘇清泉開後門,hate_politics
怎樣的人陽萎沒種時，會怪鄰居啊？,hate_politics
韓國把台灣標成中國台灣,hate_politics
憲法法庭到2028選前都無法運作、對吧?,hate_politics
菲律賓廢止台灣西班牙豬肉進口許可qq,hate_politics
藍白強推立委貪汙除罪化,hate_politics
應曉薇女兒不要想白營的票了,hate_politics
國民黨殺人無罪,hate_politics
桃園「92班停課」長達7天　腸病毒爆發了,hate_politics
黃仁勳是否會出賣台灣？ 趙怡翔：不擔,hate_politics
藍白+五毛：圍島、打電網 台灣就會投降了,hate_politics
美對輝達h200抽成25%怎麼抽白宮官員：從台灣出口時徵收,hate_politics
藍白要怎麼確保賴瑞隆出線？？,hate_politics
東南亞洪水死那麼多人 賴完全不聞不問？,hate_politics
行政院也不用給立法院審預算吧,hate_politics
行政院帶頭違憲對2026大選多加分？,hate_politics
苗澤東：是烏克蘭官員說 馬照跑 舞照跳,hate_politics
puma老師說戰爭時90%人不在戰場,hate_politics
為什麼年輕人都不挺假的蔣家人？,hate_politics
苗博雅是不是在幻想東線無戰事,hate_politics
黃國昌：配套不良，恐瘦了孩子們的營養,hate_politics
苗澤東有受過專業的軍事訓練嗎？,hate_politics
陳玉珍嗆助理：助理費案我不會撤回,hate_politics
建議卓榮泰尋求釋憲並強調尊重司法判決,hate_politics
清大吞的下  翁曉鈴挺貪污,hate_politics
派苗博雅當國防部長可以嗎？,hate_politics
又開後門？陳玉珍提案鬆綁排黑「讓緩刑,hate_politics
應曉薇女兒 別「kp」徽章,hate_politics
大地震台灣客護飯店電視 日本人感動瘋傳,hate_politics
法案公布「卓揆不執行」　深綠學者：比惡,hate_politics
就算憲法法庭 認定違憲 行政院還是能耍賴,hate_politics
法律公布不執行是法盲嗎？,hate_politics
違憲行為制止違憲法案！不滿就去釋憲,hate_politics
台灣關係法可沒說美國會幫忙打仗！,hate_politics
國台辦指示藍白：陸配參政權應保障,hate_politics
禁廚餘養豬配套不良　黃國昌：恐瘦了孩,hate_politics
藍白畜又翻，國民黨霸凌參選人道歉了,hate_politics
賴瑞隆今日居然沒宣布退選啊～,hate_politics
民進黨小兒霸凌跟國民黨學生時期霸凌,hate_politics
指標性綠粉都在臭卓榮泰違法硬幹,hate_politics
徐嶔煌京都完婚！和新郎年齡差逾10歲,hate_politics
共產黨應該很期待司法弄死黃國昌,hate_politics
貪汙無罪，會幫國民黨2026選情多拿幾票 ?,hate_politics
軍公教在哭窮？那勞工怎麼辦？,hate_politics
蔣萬安為何要選台北市長連任???,hate_politics
財劃法僵局…卓榮泰：只要總預算、強化,hate_politics
清德什麼時候要稱帝,hate_politics
chat gpt說了實話會被制裁嗎,hate_politics
"黃智賢:中央總預算3兆,都匯到賴清德帳戶",hate_politics
黃智賢世界fb 惡魔立委的邏輯,hate_politics
何元楷同學：大家小時候多少調皮,hate_politics
中國戰區台灣省受降儀式！？！？,hate_politics
助理費除罪化！28藍委再提地方民代比照辦理　免,hate_politics
笑死，柯建銘不接這個鍋了,hate_politics
日本 tiktoker 大逃亡,hate_politics
大小姐說要集體自律了,hate_politics
民進黨立委為什麼不提倒閣？,hate_politics
黃捷現在還有在深蹲嗎？,hate_politics
我以為違憲的只有藍白,hate_politics
老川要跟中國合作青鳥何去何從,hate_politics
鶄是不是蠻智障的,hate_politics
嘉義將普發6千！台中跟進？盧秀燕反應曝,hate_politics
中共要怎麼佔領台灣，渡海登陸還是空降 ?,hate_politics
股票板怎麼變成舔中板的,hate_politics
館長拿掉政治跟髒話 能直播超過一小時嗎,hate_politics
農農是輸三世祖哪裡？,hate_politics
立院通過法案不執行會是最後一根稻草嗎？,hate_politics
立委薪水變相增50萬! 揭陳玉珍提案引爆國,hate_politics
大陸多地統計女性月經期 中共如黑社會般催,hate_politics
國民黨要求封鎖抖音跟境外ip,hate_politics
王毅稱台灣地位已被「七重鎖定」：自古,hate_politics
批踢踢剩三萬人上線 還有新帳號出現？,hate_politics
快訊/陳玉珍「提案非常公正 不會撤回」,hate_politics
政院堅持不執行財劃法 國民黨團：卓榮,hate_politics
看一些藍粉竟然在護航何元楷?,hate_politics
館長：藍白不管我的死活！只有旺董,hate_politics
撐過考察期！館長嗨吼「有抖音商業號了,hate_politics
支那人在日本平交道被撞死,hate_politics
明年民進黨大敗，賴清德會怎負責？,hate_politics
防禦武裝自己買到空氣怎麼辦,hate_politics
苗博雅在fb被詐騙.有抓到幕後主謀嗎？,hate_politics
戰爭要怎摸正常生活,hate_politics
國民黨提案 貪汙 不受刑法規範,hate_politics
真的開戰死傷都是自己人造成的,hate_politics
我諸羅山自有尊嚴,hate_politics
明年的總預算 藍白會怎麼審?,hate_politics
台派最終的結局,hate_politics
小草被當人肉盾牌，你會怎麼做？,hate_politics
翁曉玲批廢死再爆驚句：大法官解釋未必,hate_politics
酒駕小草：政府只會搶錢,hate_politics
各位千萬不要忘記周子瑜事件,hate_politics
打仗的時侯國昌老師會看錯國旗嗎,hate_politics
自願役中民進黨支持者佔幾成？,hate_politics
十件民進黨執政後不能再酸對岸的事,hate_politics
青鳥是不是還沒發現反中的風向已經改變？,hate_politics
國民黨內鬥何元楷?,hate_politics
小草怒「為什麼現在沒有憲法法庭！」,hate_politics
民進黨為什麼這麼怕跟大陸交流？,hate_politics
行政院不執行立院三讀法案怎麼辦,hate_politics
"防詐至上,不妨修法讓陸資平台無障礙落地?",hate_politics
小紅書若配合政府司法部門打詐將是雙贏,hate_politics
如果青鳥投降解放軍，各位會怎處理？,hate_politics
沈伯洋是不是也很愛演受虐兒,hate_politics
鄭麗文聲量雪崩只剩一成！ 藍營直播圈熱度下跌 粉專分析原因,hate_politics
中共打來就是藍白害的!,hate_politics
兩岸開戰，股市28000剩有3000嗎？,hate_politics
為何北京語霸權黨和民眾兩黨要違憲立法,hate_politics
中國新國標電動車遭網民大吐槽,hate_politics
藍白太孬了吧 居然一堆不敢上戰場,hate_politics
台派沒有未來的～,hate_politics
藍營新人何元楷遭爆「從小霸凌」！涉推擠潑水吐口水,hate_politics
尹啟銘：台股上2萬點！！,hate_politics
陸女入境下體鼓起　內藏1公斤活蟲,hate_politics
dodomessage: 怎麼可以貼人霸凌標籤！,hate_politics
帶女兒出門被突襲遭疑自導自演！沈伯洋,hate_politics
麥玉珍選台中能拿幾%,hate_politics
偏安就好了為何綠堅持獨立？,hate_politics
苗不知道烏克蘭少1/4人口？,hate_politics
偏安就好了為何藍白堅持統一？,hate_politics
現在要開始限制役男出境了吧？,hate_politics
藍白不願意保衛台灣算叛國罪嗎,hate_politics
張啓楷自曝 本月被徵召選嘉市,hate_politics
為什麼民進黨政府敢違法亂紀不依法行政,hate_politics
館長想當總統,hate_politics
嘉義市加碼普發6000元計畫　市府9日送議,hate_politics
台灣女性應讓習近平馬上風,hate_politics
民眾黨兩個女人都不回來xdd,hate_politics
川普同意輝達h200 晶片出口中國,hate_politics
台若開戰「馬照跑舞照跳」？苗博雅提烏,hate_politics
欸，現在公然說小孩應該要處決都沒事喔,hate_politics
來看一下哪些人在幫公務員貪污除罪化,hate_politics
戰爭就是閩南政權垮台的痛點,hate_politics
看下脆根本沒人認同賴清德中華民國團結說,hate_politics
2026民進党與八炯可以繼續合作嗎？,hate_politics
丁瑀：國民黨裡面有很多親共媚共甚至已經,hate_politics
和平太久才會沒有危機意識,hate_politics
約談黃國昌人頭／凱思金主姻親表弟遭鎖,hate_politics
民進黨應該讓苗在高雄選,hate_politics
姻親是黃國昌老婆的l姓表弟,hate_politics
黃國昌幫自己修法，勾串證人滅證、免羈押,hate_politics
日本f15被中國j15鎖爛了，中國軍力比青鳥,hate_politics
烏克蘭死多少人，民進黨內心不會不安？,hate_politics
台灣志願役的問題,hate_politics
t21請進，柯文哲說過....,hate_politics
berotec會被什麼事釣到發文？,hate_politics
願意保衛台灣但不願意當兵是啥邏輯,hate_politics
賴清德會有李登輝的gus嗎？,hate_politics
連台獨都不敢的孬種，是要保護啥？,hate_politics
網軍鎖定黃暐瀚  真。毛骨悚然,hate_politics
女生不當兵用什麼保衛台灣？,hate_politics
中共早就跟美軍交手過了,hate_politics
日本又強震 阿館會捐錢嗎？,hate_politics
最新民調：藍白均有3成不願意保衛台灣,hate_politics
所以民進黨的台獨進度報告,hate_politics
沒「前」板主帶領，政黑該怎再次躍上新聞,hate_politics
黑熊是忘了大罷免32:0嗎？,hate_politics
民眾黨許甫請進,hate_politics
台灣主權決議文跟九二共識一樣廢物文獻,hate_politics
國民黨要民調贏就贏，輸也要贏的遊戲,hate_politics
路易莎營收低就是當初的報應吧,hate_politics
點兵嘉義市施壓藍白整合 黃國昌拍板：張,hate_politics
張啓楷出戰嘉義市長 地方盛傳民眾黨找「,hate_politics
香港父母帶小孩去深圳玩的目的,hate_politics
苗博雅的戰爭論是想表達什麼?,hate_politics
所以能認定台獨不獨是假議題了嗎？,hate_politics
南韓驚爆12萬台監視器畫面遭駭！非法「裸,hate_politics
貪污助理費除罪 到底有什麼問題?,hate_politics
「政治是一時、為人父母是一輩子」賴瑞,hate_politics
有一說一 所以預算案會怎樣收場?,hate_politics
所以國民黨不會擋軍購了吧?,hate_politics
【禁聞】詭異！中國多地無人機半夜噴灑,hate_politics
google 也不給民進黨跟賴清德面子耶,hate_politics
高雄市市長候選民進黨四傑優點？,hate_politics
2中國女遊日「假冒台灣人」！ 京都壽喜燒名店一句話拆穿,hate_politics
是什麼動力讓橘子永久逃亡海外??,hate_politics
海角阿扁重磅回歸鏡週刊!!,hate_politics
駁心結說 鄭麗文喊盧秀燕「就是太陽」,hate_politics
台獨已經死透了吧?,hate_politics
馬克宏向中國放話：不縮減貿易逆差就課,hate_politics
為啥反智苗要洗戰爭不可怕的風向,hate_politics
我第一次看到全世界有人這樣自嗨的,hate_politics
青鳥失守街亭了嗎?,hate_politics
現代戰爭根本不可怕.也不會死什麼人！,hate_politics
賴清德不敢宣布台獨是怕被斬首嗎,hate_politics
靠背 美國拿中國那麼多貸款喔！？,hate_politics
能說原諒的只有女童,hate_politics
黃國昌：賴清德打嘴砲30年夠了吧？,hate_politics
這次霸凌我真服了洗地的塔綠跟信徒,hate_politics
2025年人均gdp購買力排名預測,hate_politics
所以黃國昌的邏輯是什麼？,hate_politics
脆爆料：國民黨新北議員參選人霸凌同學,hate_politics
陳菊會不會早就已經,hate_politics
我三屆都投民進黨結果要擔心阿共打過來?,hate_politics
黃國昌震怒：賴清德還要嘴砲台獨多久？,hate_politics
可以依照憲法立法要民進黨統一嗎,hate_politics
慟！朱學恆不聊政治時事改聊歷史了,hate_politics
苗澤東知道烏克蘭面積60萬平方公里嗎,hate_politics
柯文哲本周言詞辯論　陳佩琪再控北檢「騙票收索」,hate_politics
青鳥有為了抗中做多少犧牲嗎？,hate_politics
到底哪時後才能倒閣 換掉厚臉皮卓榮泰,hate_politics
為何青鳥要反對國民黨提的貪污除罪化 ?,hate_politics
日本歌手承認自己中國人就可以上台了？,hate_politics
霸凌仔事情也告一段落，該總結一下,hate_politics
徐國勇：基隆市長提名人選非常棒　盼月底,hate_politics
賴瑞隆哭給誰看？53天後才道歉！他怒轟「民主哭神」大戲上演,hate_politics
國民黨捲錢逃難丟下國民跟家屬,hate_politics
cheap評漢來日月行館外觀醜沒查證誰蓋?,hate_politics
認真問！你何時發現台獨是打假球的？,hate_politics
許甫監督矢板明夫吃什麼食物xddd,hate_politics
賴清德指台灣本已獨立「國號不需更動」,hate_politics
為啥中國還是想要武統台灣阿,hate_politics
兩岸開戰白粉可以負責當詐騙軍,hate_politics
12月份政治大戲剩高虹安二審嗎？,hate_politics
全球慘付代價！中國出口海嘯肆虐 貿易順,hate_politics
韓入境卡寫中國台灣遲未改　綠委籲政府,hate_politics
薯條加大、助理費放口袋、貪污五萬免罪,hate_politics
藍白暴民倒讚到志祺想去日本很可悲,hate_politics
從高雄市長候選人看出國民黨的民主,hate_politics
台中一直跳 江啟臣無視 台中人照投,hate_politics
政黑板怎麼看侯友宜唸簡訊的行為？,hate_politics
「吃海鮮挺日本」千人宴一桌3萬　許甫,hate_politics
國民黨提案 黨政軍介入媒體除罪化,hate_politics
刪反共黨章換鄭習會？ 基層憂紅統標籤上身,hate_politics
黃暐瀚threads：四個為什麼？,hate_politics
青鳥都不在乎被霸凌8歲女童心理創傷,hate_politics
三次總統大選，為什麼台北投綠最多？,hate_politics
為什麼青鳥對中國人這麼不友善？,hate_politics
柯文哲從政來的重要代表作?,hate_politics
台中又跳了 怎麼回事,hate_politics
藍白：助理費匯到立委帳戶，是先進立法,hate_politics
變態青鳥偷拍黃國昌老婆也拍未成年,hate_politics
台派的堅持,hate_politics
贊成封鎖小紅書一年嗎？yahoo民調揭網友,hate_politics
為什麼青鳥都不看憲法寫什麼？？,hate_politics
